"Filename","WC","RC6","RC3","RC2","RC7","RC4","RC9","RC10","RC5","RC1","RC8"
"15_10_1491.txt",202,4.20561,2.80374,0.93458,5.60748,1.40187,4.20561,1.40187,3.27103,-0.46729,1.86916
"15_10_1492.txt",220,0.85836,2.57509,0,1.28754,0.42918,0.85836,3.43347,5.1502,0.42918,3.00428
"15_10_1493.txt",228,8.33335,2.50001,2.50002,2.08334,3.33335,2.50001,2.50002,2.91667,-0.41667,2.08334
"15_11_1494.txt",37,7.6923,2.5641,-2.5641,5.1282,5.1282,2.5641,0,7.6923,0,5.1282
"15_11_1495.txt",60,7.8125,4.6875,-3.125,12.5,6.25,3.125,-4.6875,12.5,0,7.8125
"15_11_1496.txt",72,0,6.66666,1.33333,2.66666,0,0,0,3.99999,1.33333,3.99999
"15_11_1497.txt",77,6.09755,4.87804,-2.43902,12.1951,1.21951,4.87804,0,8.53657,0,3.65853
"15_11_1498.txt",223,2.1645,1.2987,0.8658,0.8658,3.0303,1.7316,-5.55111512312578e-17,1.2987,1.7316,0.8658
"15_11_1499.txt",231,5.41667,2.50001,1.66666,5.41668,4.58334,2.91667,1.25001,3.75001,0.41666,4.16666
"15_11_1500.txt",269,1.7668,3.88695,-0.35336,2.47352,1.06007,1.06008,0.35336,2.47351,0,1.76679
"15_12_1501.txt",69,2.77778,6.94445,-2.77778,6.94445,1.38889,1.38889,2.77778,13.8889,-1.38889,2.77778
"15_12_1502.txt",85,2.17392,6.52176,5.4348,1.08696,-1.08696,5.4348,-1.08696,0,0,2.17392
"15_12_1503.txt",215,8.44441,3.99997,1.77777,5.77774,0,1.77777,-1.00000000000655e-05,1.33333,-0.44445,3.11109
"15_12_1504.txt",234,6.07288,3.64373,3.23887,2.83402,2.0243,2.42914,-0.80972,2.0243,-2.42914,1.21458
"15_12_1505.txt",271,7.39436,5.28168,0.35211,4.92958,3.52113,3.52113,1.40844,9.15493,-3.16902,1.05633
"15_13_1506.txt",88,4.34783,6.52174,-3.26087,11.95653,0,4.34783,0,6.52174,0,7.60871
"15_13_1507.txt",97,7.84312,2.94117,0,4.90195,4.90195,3.92156,5.88234,5.88234,0,0
"15_13_1508.txt",210,1.82648,3.65296,2.2831,0.45662,2.2831,0.91324,-0.45662,0.45662,1.36986,0
"15_13_1509.txt",212,2.65488,4.42479,-1.32743,6.63718,0.44248,1.76992,1.76992,3.53983,0.44248,0
"15_13_1510.txt",243,2.34375,5.07815,0,3.12501,5.07814,3.12501,2.73438,4.68753,0.39063,4.29689
"15_14_1511.txt",49,4,4,-4,6,4,4,4,10,0,2
"15_14_1512.txt",60,4.6875,3.125,-1.5625,3.125,6.25,3.125,6.25,6.25,1.5625,-3.125
"15_14_1513.txt",85,4.3956,4.3956,0,5.4945,0,2.1978,3.2967,3.2967,0,1.0989
"15_14_1514.txt",218,2.62008,4.80349,0.43668,6.55021,4.3668,0.87336,2.1834,10.04366,0.87336,2.1834
"15_14_1515.txt",223,2.09205,2.51046,0.41841,5.43933,2.92887,0.83682,1.25523,6.27615,-1.25523,0
"15_14_1516.txt",228,2.50001,5.41669,-0.83334,8.75001,0.41668,3.75002,0.41667,3.33335,0,4.58334
"15_2_1431.txt",48,0,1.96078,3.92156,1.96078,7.84313,0,0,11.7647,-3.92157,1.96078
"15_2_1432.txt",66,2.85714,4.28571,-1.42857,12.85713,-7.14285,2.85714,0,4.28571,2.85714,9.99999
"15_2_1433.txt",70,2.53165,2.53164,6.32911,0,-1.26582,0,2.53164,1.26582,0,1.26582
