

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
laugh        -0.05  0.00 -0.06  0.23  0.08 -0.06  0.06 -0.05  0.05  0.08 0.086 0.91 2.3
together      0.04 -0.01  0.03  0.12  0.01 -0.04  0.32  0.01 -0.03 -0.05 0.125 0.87 1.4
apartment    -0.05  0.00  0.07  0.28  0.15  0.06 -0.03 -0.14  0.03 -0.03 0.133 0.87 2.5
walk          0.10 -0.08  0.12  0.03  0.38 -0.06  0.02 -0.07  0.01 -0.05 0.186 0.81 1.7
group         0.01  0.05 -0.03  0.06 -0.03  0.00  0.24  0.10 -0.07  0.04 0.084 0.92 1.9
surprise      0.05  0.02 -0.06  0.22  0.13  0.00  0.04 -0.02 -0.01 -0.01 0.073 0.93 2.1
life          0.01  0.00  0.04  0.32 -0.10  0.04  0.07  0.06  0.00  0.02 0.124 0.88 1.4
lecture       0.12  0.54  0.05  0.00 -0.02 -0.05 -0.02  0.01  0.06 -0.02 0.315 0.68 1.2
emotion       0.02  0.05  0.00  0.11 -0.04  0.32  0.01 -0.07  0.03  0.10 0.134 0.87 1.6
hard          0.17  0.13 -0.01  0.08  0.01  0.12  0.02  0.06  0.10  0.02 0.080 0.92 4.4
night         0.09  0.06  0.02  0.04  0.01  0.04  0.14  0.11  0.43  0.02 0.228 0.77 1.6
problem       0.16  0.10 -0.04  0.07 -0.08  0.14 -0.06  0.15  0.04 -0.06 0.102 0.90 5.5
mood          0.13  0.00  0.06  0.09  0.01 -0.09  0.04  0.14  0.10  0.10 0.077 0.92 5.9
video        -0.07  0.02 -0.02 -0.01 -0.07  0.03 -0.06 -0.03  0.04  0.49 0.262 0.74 1.2
sad           0.04  0.00  0.03  0.27 -0.13 -0.01 -0.01  0.06  0.05  0.06 0.103 0.90 1.9
calm          0.15 -0.07  0.01  0.06  0.10  0.27 -0.09 -0.21  0.00  0.09 0.175 0.83 3.7
sleep         0.00  0.08  0.04 -0.06 -0.08  0.11 -0.03  0.14  0.56 -0.03 0.364 0.64 1.3
topic         0.10  0.25  0.01  0.17 -0.13  0.03  0.10  0.10 -0.04  0.01 0.140 0.86 3.8
listen        0.00  0.30  0.04  0.13 -0.09 -0.02 -0.07  0.06  0.01  0.07 0.132 0.87 2.0
bore         -0.05  0.23 -0.08 -0.01 -0.06  0.03 -0.03 -0.02  0.11  0.12 0.093 0.91 2.8
pay          -0.16  0.65 -0.07 -0.14  0.20  0.08  0.10 -0.12  0.04 -0.06 0.551 0.45 1.6
attention    -0.14  0.67 -0.07 -0.14  0.19  0.09  0.05 -0.12  0.03 -0.01 0.556 0.44 1.5
coffee       -0.01 -0.05  0.11  0.00  0.16 -0.05  0.03  0.08  0.11 -0.03 0.062 0.94 4.0
